image_file,index,decision,level_1_score,level_2_score,level_3_score,overall_score,n_total,n_yes,n_no,n_unknown
01_e429aab6.jpg,1,edit,75.0,75.0,,75.0,6,4,1,1
02_81693ab9.jpg,2,edit,93.75,75.0,0.0,80.0,15,11,2,2
03_fe1e14d8.jpg,3,keep,75.0,100.0,50.0,83.33,9,6,0,3
04_948abef1.jpg,4,edit,75.0,50.0,,58.33,6,3,2,1
05_56037ec2.jpg,5,edit,100.0,60.0,100.0,77.78,9,7,2,0
06_f4227187.jpg,6,edit,70.0,12.5,,34.62,13,4,8,1
07_87c11ce5.jpg,7,regenerate,12.5,,,12.5,4,0,3,1
08_8310ab6b.jpg,8,edit,66.67,91.67,,83.33,9,7,1,1
09_eea6cb50.jpg,9,keep,75.0,93.75,,90.0,10,8,0,2
10_b66efa34.jpg,10,edit,66.67,80.0,100.0,77.78,9,7,2,0
