image_file,index,decision,level_1_score,level_2_score,level_3_score,overall_score,n_total,n_yes,n_no,n_unknown
01_amazon_elements_melatonin_3mg_260_tablets.png,1,edit,100.0,100.0,33.33,77.78,9,7,2,0
02_amazonbasics_kids_ear_protection_safety_noise_earmuffs_yellow.png,2,edit,93.75,88.89,0.0,81.58,19,15,3,1
03_365_everyday_value_organic_pumpkin_spice_coffee_12_oz.png,3,edit,100.0,41.67,100.0,65.0,10,6,3,1
04_whole_foods_market_womens_care_probiotic_30_ct.png,4,keep,100.0,75.0,,83.33,6,4,0,2
05_amazon_brand_happy_belly_vanilla_wafers_12_ounce.png,5,edit,62.5,60.0,100.0,65.0,10,6,3,1
06_mens_um1527_chukka_boots_brown_tan_womens_8.png,6,edit,100.0,0.0,,50.0,12,6,6,0
07_umi_by_amazon_100_organic_cotton_1_fitted_sheet_only_300_thread_count_soft_satee.png,7,keep,87.5,83.33,50.0,64.71,17,5,0,12
08_amazon_brand_symbol_mens_derby_leather_formal_shoes_10_ukindia_44_euaz_ws_114a.png,8,keep,100.0,92.86,50.0,86.36,11,8,0,3
09_amazon_collection_find_platinum_plated_freshwater_cultured_pearl_suta_ringusirub.png,9,regenerate,0.0,,,0.0,2,0,2,0
10_365_everyday_value_toronto_steak_dry_rub_5_oz.png,10,keep,100.0,100.0,100.0,100.0,9,9,0,0
11_amazon_brand_stone_beam_industry_french_metal_queen_bed_with_headboard_635w_blac.png,11,keep,85.71,75.0,,83.33,9,6,0,3
12_whole_foods_market_mediterranean_herb_infused_greek_extra_virgin_olive_oil_845_f.png,12,edit,100.0,62.5,0.0,71.43,14,9,3,2
13_womens_beau_blue_5_uk.png,13,edit,100.0,35.71,50.0,50.0,12,2,2,8
14_umi_double_fitted_sheet_100_cotton_300_thread_count_double_fitted_sheets_scottis.png,14,edit,87.5,100.0,0.0,83.33,9,7,1,1
15_amazon_collection_amazon_collection_platinum_plated_sterling_silver_clear_prince.png,15,keep,100.0,100.0,100.0,100.0,11,11,0,0
16_eono_by_amazon_ab_wheel_roller_2_wheel_settings_abdominal_trainer_with_thick_kne.png,16,edit,100.0,57.14,0.0,58.33,12,5,3,4
17_365_everyday_value_organic_unfiltered_apple_cider_vinegar_32_fl_oz.png,17,edit,100.0,81.82,33.33,76.47,17,13,4,0
18_amazonbasics_patio_dining_chair_cover_2_pack_grey.png,18,edit,83.33,75.0,,79.17,12,9,2,1
19_amazonbasics_in_ear_headphones_with_mic_green.png,19,edit,83.33,100.0,50.0,88.46,13,11,1,1
20_amazonbasics_7_piece_bed_in_a_bag_fullqueen_navy_simple_plaid_renewed.png,20,edit,80.0,75.0,0.0,62.5,16,8,4,4
