image_file,index,decision,level_1_score,level_2_score,level_3_score,overall_score,n_total,n_yes,n_no,n_unknown
01_e429aab6.jpg,1,keep,100.0,87.5,100.0,94.44,9,8,0,1
02_81693ab9.jpg,2,edit,81.25,100.0,0.0,81.58,19,15,3,1
03_fe1e14d8.jpg,3,keep,75.0,100.0,50.0,85.0,10,7,0,3
04_948abef1.jpg,4,keep,100.0,87.5,,91.67,6,5,0,1
05_56037ec2.jpg,5,keep,100.0,90.0,100.0,95.0,10,9,0,1
06_f4227187.jpg,6,edit,83.33,0.0,,41.67,12,5,7,0
07_87c11ce5.jpg,7,regenerate,12.5,,,12.5,4,0,3,1
08_8310ab6b.jpg,8,edit,75.0,50.0,50.0,54.55,11,3,2,6
09_eea6cb50.jpg,9,keep,75.0,85.0,,83.33,12,8,0,4
10_b66efa34.jpg,10,edit,66.67,70.0,100.0,72.22,9,6,2,1
11_c1ab9976.jpg,11,keep,85.71,75.0,,83.33,9,6,0,3
12_7750a4d8.jpg,12,keep,90.0,100.0,50.0,92.86,14,12,0,2
13_144e45dd.jpg,13,edit,100.0,35.71,50.0,50.0,12,2,2,8
14_d504d254.jpg,14,keep,75.0,62.5,100.0,72.22,9,4,0,5
15_20965a65.jpg,15,keep,100.0,92.86,100.0,95.45,11,10,0,1
16_0d82cb87.jpg,16,edit,100.0,64.29,100.0,79.17,12,8,1,3
17_d20098db.jpg,17,edit,100.0,68.18,33.33,67.65,17,8,2,7
18_3cbf6b2b.jpg,18,edit,50.0,83.33,,66.67,12,6,2,4
19_8b5173b4.jpg,19,edit,75.0,41.67,50.0,57.69,13,6,4,3
20_c7f89245.jpg,20,edit,80.0,81.25,50.0,75.0,16,9,1,6
