index,prompt,brand,image_id,image_path
1,"Amazon Elements Melatonin 3mg, 260 Tablets",Amazon Elements,81DZLiIamjL,images/small/e4/e429aab6.jpg
3,"365 Everyday Value, Organic Pumpkin Spice Coffee, 12 oz",365 Everyday Value,81CtXqhGF2L,images/small/fe/fe1e14d8.jpg
4,"WHOLE FOODS MARKET Women's Care Probiotic, 30 CT",WHOLE FOODS MARKET,81LN70alA5L,images/small/94/948abef1.jpg
5,"Amazon Brand - Happy Belly Vanilla Wafers, 12 Ounce",Happy Belly,719hlkdhXmL,images/small/56/56037ec2.jpg
10,"365 EVERYDAY VALUE Toronto Steak Dry Rub, 5 OZ",365 Everyday Value,81vrbQlLXRL,images/small/b6/b66efa34.jpg
13,"Women's Beau, (Blue), 5 UK",find.,71vD5Gb7a9L,images/small/14/144e45dd.jpg
17,"365 Everyday Value, Organic Unfiltered Apple Cider Vinegar, 32 fl oz",365 Everyday Value,61P20F5bTdL,images/small/d2/d20098db.jpg
18,"AmazonBasics Patio Dining Chair Cover (2 Pack), Grey",AmazonBasics,71-cJndLmIL,images/small/3c/3cbf6b2b.jpg
19,"AmazonBasics In-ear Headphones with Mic, Green",AmazonBasics,51+isEgEhzL,images/small/8b/8b5173b4.jpg
22,"Fresh Brand – Red Potatoes, 5 lb",Fresh,81sX+tq+ElL,images/small/97/9735499f.jpg
23,"Moon and Back Baby Set of 5 Organic Reversible Bibs, Pink Blush, One Size",Moon and Back,81s4VedAApL,images/small/ae/ae67efca.jpg
24,"Amazon Brand - The Fix Women's Mischa Block Heel Ankle Wrap Sandal with Bows, dove suede, 9 B US",The Fix,818z7PLHkjL,images/small/3a/3ae9d032.jpg
25,"Amazon Brand – Stone & Beam Casual Geometric Wool Runner Rug, 8' x 2' 3"", Green",Stone & Beam,A1ALEc5TIRL,images/small/8f/8fecd6e2.jpg
28,"AmazonBasics Modern Adjustable Swivel Bar/Island Stools - PU with Chrome Air Lift - Set of 2, Black",AmazonBasics,71OM4cBNFkL,images/small/ff/ff32ca95.jpg
30,"10k White Gold Diamond Heart Ring (0.03 cttw, I-J Color, I2-I3 Clarity), Size 6",Amazon Collection,71Iqn-08JuL,images/small/74/74f41eea.jpg
31,"AmazonBasics Zinc Alloy Guitar Capo for Acoustic and Electric Guitar, Copper, 3-Pack",AmazonBasics,61NpWJp15EL,images/small/a5/a5a9afde.jpg
32,"UMI Merryfeel Microfibre Duvet Cover Set, Light and Soft",,51RU2yEalLL,images/small/f3/f344ff73.jpg
