image_file,index,decision,level_1_score,level_2_score,level_3_score,overall_score,n_total,n_yes,n_no,n_unknown
1.jpg,1,keep,90.0,100.0,100.0,95.0,10,9,0,1
10.jpg,10,keep,70.0,91.67,,81.82,11,7,0,4
2.jpg,2,keep,80.0,100.0,50.0,86.36,11,8,0,3
3.jpg,3,keep,83.33,100.0,,95.0,10,9,0,1
4.jpg,4,edit,83.33,35.71,33.33,46.15,26,12,14,0
5.jpg,5,keep,66.67,90.0,100.0,83.33,9,6,0,3
6.jpg,6,edit,62.5,90.91,,83.33,15,12,2,1
7.jpg,7,edit,87.5,90.91,100.0,90.62,16,14,1,1
8.jpg,8,keep,92.86,86.36,87.5,88.64,22,17,0,5
9.jpg,9,edit,87.5,66.67,100.0,79.41,17,13,3,1
