image_file,index,decision,level_1_score,level_2_score,level_3_score,overall_score,n_total,n_yes,n_no,n_unknown
1.jpg,1,keep,87.5,100.0,100.0,94.44,9,8,0,1
10.jpg,10,keep,100.0,92.86,100.0,95.83,12,11,0,1
2.jpg,2,keep,87.5,90.0,,88.89,9,7,0,2
3.jpg,3,keep,100.0,100.0,,100.0,6,6,0,0
4.jpg,4,edit,80.0,40.62,33.33,46.3,27,10,12,5
5.jpg,5,keep,75.0,90.0,100.0,85.0,10,7,0,3
6.jpg,6,keep,87.5,100.0,,96.88,16,15,0,1
7.jpg,7,keep,87.5,100.0,,97.06,17,16,0,1
8.jpg,8,keep,92.86,95.0,100.0,95.0,20,18,0,2
9.jpg,9,edit,87.5,90.0,100.0,91.67,18,16,1,1
