prompt,filename,sha256,search_query,note
A Japanese stop sign used from 1960 to 1963,1.jpg,1e0d18655e76a14daf42276d7284d90675a8c78c55a6c6c80efe40239c237bcb,A Japanese stop sign used from 1960 to 1963,User must manually select an appropriate image from search results
A deluxe taxi in South Korea in the mid-2020s,2.jpg,0f7077d5cb6ecfa9a3c17b43d26bcb2077bfe117b2caa05117cc2d3800e3326a,A deluxe taxi in South Korea in the mid-2020s,User must manually select an appropriate image from search results
A London Metropolitan Police officer uniform in 2026,3.jpg,7d34f784ad204246b08a76c7503f9fcc766198654a703ac32d04c698c9f829c8,A London Metropolitan Police officer uniform in 2026,User must manually select an appropriate image from search results
The front side of a U.S. 100 dollar bill in 2026,4.jpg,73df3f0a60dba61369d8b1075f2cedbe0ab34e856d8bd602b466245b28e4870a,The front side of a U.S. 100 dollar bill in 2026,User must manually select an appropriate image from search results
A Swiss Guard uniform at the Vatican in 2005,5.jpg,4b442e7eb5efd7f33bab46410f59e3d5ab6bcae401257728505dd5cd7c82ac26,A Swiss Guard uniform at the Vatican in 2005,User must manually select an appropriate image from search results
A British passport cover issued in early 2026,6.jpg,dec77b9f9897360fe728fc78cf861b6b7d49200913a11254d619223c1c195345,A British passport cover issued in early 2026,User must manually select an appropriate image from search results
A German pedestrian crossing sign in 2026,7.jpg,d777a7cec2ca6963623211344bdd3e383ffd95db277ce58c8ec0f0394f17659b,A German pedestrian crossing sign in 2026,User must manually select an appropriate image from search results
The front side of a 50 euro banknote from the Europa series,8.jpg,3eff1efabf52dede3a020c232f995095f22ef13015a91e47f745dc8fa528f8e3,The front side of a 50 euro banknote from the Europa series,User must manually select an appropriate image from search results
The front cover of a South Korean passport issued after 2021,9.jpg,8a7083053012cb6c3bd8354bb3009f52447fd0d92f0810ab58186343dd950ac7,The front cover of a South Korean passport issued after 2021,User must manually select an appropriate image from search results
A German Umweltplakette sticker on a car windshield in 2026,10.jpg,a6cddcbc0e4616d3109b1f7d937f09f79cbc1b5201daf88638030411046f24e2,A German Umweltplakette sticker on a car windshield in 2026,User must manually select an appropriate image from search results
"An iPhone 17 Pro from the back, official 2025 design",11.jpg,0ede8bca97c43f413f9b1af555158eaa3aef877a93b641f101c9261989202b32,"An iPhone 17 Pro from the back, official 2025 design",User must manually select an appropriate image from search results
A current South Korean police patrol car in 2026,12.jpg,39c9708ecc1e16efd09572289489ba6b1547e777a7156ef8db3e3b83cd1546e1,A current South Korean police patrol car in 2026,User must manually select an appropriate image from search results
